"Locale.","Charter","Magnet.","Title.I.School.","Students.","Teachers.","Free.Lunch.","Reduced.Lunch.","grade","numOfStud2012","passing2012","meanScale2012","lev1Perc2012","lev5Perc2012","numOfStud2013","passing2013","meanScale2013","lev1Perc2013","lev5Perc2013","numOfStud2014","passing2014","meanScale2014","lev1Perc2014","lev5Perc2014","Workbooks.Ordered","Workbooks","Total.Wall.Posts","Unique.wall.posts","unique.log.ins","total.log.ins","teacher.unique.log.ins","teacher.total.log.ins","student.unique.log.ins","student.total.log.ins","total.views","unique.viewers","teacher.total.views","teacher.unique.viewers","student.total.views","student.unique.viewers","Total.Test.Yourself","Unique.Users.who.took.test.yourself","training","integrated","integrated.or.training","test.yourselfs.during.challene","users.with.test.yourself.during.challenge","is.AN","loginsPerExaminee","perc.free.lunch","perc.reduced.lunch","SeniorHigh","middleHigh","logLoginsPerExaminee"
"Rural: Fringe","No","No","Yes",575,33,217,50,9,87,79,407,3,1,87,82,416,3,10,97,42,392,18,0,0,"no",0,0,2,2,0,0,2,2,2,1,0,0,2,1,2,1,0,0,0,0,0,0,0.0309278350515464,0.377391304347826,0.0869565217391304,0,0,-3.47609868983527
"City: Small","No","No","No",1649,87,426,86,9,206,75,406,2,1,222,68,404,6,3,270,61,400,10,1,720,"yes",0,0,23,128,5,86,18,42,379,18,307,5,72,13,16,3,1,1,1,14,1,1,0.477777777777778,0.258338386901152,0.0521528198908429,1,0,-0.738609554636703
"Suburb: Small","No","Yes","No",1585,95,773,139,9,292,54,396,15,2,195,53,399,15,4,243,69,405,8,4,1405,"yes",313,7,133,440,5,88,128,352,1077,95,321,5,756,90,101,34,1,1,1,88,30,1,1.81481481481481,0.487697160883281,0.0876971608832808,0,0,0.595983432106298
"Suburb: Large","Yes","No","No",1644,100,340,69,9,216,72,409,2,4,189,80,412,3,5,163,60,403,9,6,700,"yes",70,8,92,624,2,10,90,614,646,63,0,0,646,64,505,55,0,1,1,0,0,1,3.83435582822086,0.206812652068127,0.041970802919708,0,0,1.34400144892964
"Suburb: Large","Yes","No","Yes",445,37,305,85,9,54,89,415,2,7,88,80,412,5,13,89,69,409,3,10,0,"no",0,0,7,39,0,0,7,39,65,5,0,0,65,5,2,2,1,1,1,0,0,0,0.449438202247191,0.685393258426966,0.191011235955056,0,0,-0.799756915618204
"Suburb: Large","No","No","No",1312,92,346,56,9,280,64,402,10,0,266,63,402,10,4,315,71,406,10,8,960,"yes",163,24,124,476,5,72,119,404,960,77,209,4,751,73,143,39,1,1,1,12,8,1,1.51428571428571,0.263719512195122,0.0426829268292683,0,0,0.414943852062708
"City: Midsize","No","No","No",1929,107,922,113,9,263,39,385,29,1,305,26,381,33,0,336,39,390,23,1,0,"no",45,16,389,2100,6,78,383,2022,5939,356,46,6,5893,350,584,144,1,1,1,252,75,0,6.25297619047619,0.477967858994298,0.0585795749092794,0,0,1.8330575408818
"Town: Remote","No","No","Yes",866,41,550,34,9,198,39,388,22,1,163,44,389,26,1,196,65,402,12,2,400,"yes",43,10,134,356,2,5,132,351,405,104,4,2,401,102,49,41,0,1,1,3,1,1,1.82142857142857,0.635103926096998,0.0392609699769053,0,0,0.599621122549122
"Suburb: Large","No","No","Yes",966,68,530,58,9,92,47,390,23,2,111,50,394,9,2,108,47,395,10,1,0,"no",6,1,77,140,5,25,72,115,136,48,40,5,96,43,60,28,0,1,1,13,1,0,1.30555555555556,0.548654244306418,0.0600414078674948,0,0,0.266628663253949
"Suburb: Large","No","No","Yes",1605,81,1033,121,9,216,37,387,26,1,226,57,398,12,2,172,53,397,13,2,800,"yes",49,7,158,768,1,20,157,748,1627,124,54,1,1573,123,15,9,0,1,1,0,0,1,4.47093023255814,0.643613707165109,0.0753894080996885,0,0,1.49759649269219
"Suburb: Large","No","Yes","Yes",3439,156,2413,311,9,688,25,378,41,0,716,37,388,27,2,559,35,387,25,1,2100,"yes",30,8,273,939,20,181,253,758,3265,250,691,19,2574,231,66,38,1,1,1,16,8,1,1.68157423971377,0.701657458563536,0.0904332654841524,0,0,0.51973040210895
"Town: Remote","No","No","Yes",1762,108,766,172,9,349,57,399,12,4,360,57,400,16,7,331,35,387,25,0,1280,"yes",35,8,137,617,6,138,131,479,1030,81,469,6,561,75,151,40,1,1,1,107,25,1,1.86706948640483,0.434733257661748,0.0976163450624291,0,0,0.624370082080628
"Suburb: Large","No","No","No",2272,97,398,161,9,434,84,417,4,18,455,77,416,7,22,421,76,414,7,19,680,"yes",17,6,141,376,2,2,139,374,881,95,4,2,877,93,13,6,0,1,1,5,4,1,0.895486935866983,0.175176056338028,0.070862676056338,0,0,-0.110387646234371
"Suburb: Large","No","No","Yes",131,14,119,2,9,13,31,376,38,0,12,25,387,8,0,14,21,371,57,0,0,"no",0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0.142857142857143,0.908396946564885,0.0152671755725191,0,0,-1.94591014905531
"Suburb: Large","No","Yes","No",3376,148,2079,286,9,480,36,384,33,2,541,49,394,21,5,471,46,392,27,5,904,"yes",236,6,299,1995,9,64,290,1931,5154,235,29,5,5125,230,645,89,1,1,1,263,54,1,4.23779193205945,0.615817535545024,0.0847156398104265,1,0,1.44404236285499
"Suburb: Large","No","No","Yes",2344,106,959,272,9,385,52,396,19,4,477,48,393,18,1,352,59,402,8,5,980,"yes",0,0,50,145,1,1,49,144,284,34,2,1,282,33,27,4,0,1,1,6,2,1,0.414772727272727,0.409129692832765,0.116040955631399,0,0,-0.880024553889761
"Suburb: Large","No","Yes","Yes",3212,137,991,347,9,288,65,405,11,6,371,78,412,6,10,251,86,418,4,16,40,"yes",1791,6,388,3675,4,39,384,3636,7887,324,5,2,7882,322,2278,244,1,1,1,1189,112,1,14.6454183266932,0.308530510585305,0.108032378580324,1,0,2.68412754434379
"Town: Remote","No","No","No",743,39,200,49,9,132,65,400,11,2,112,55,396,17,2,82,55,398,11,0,130,"yes",3,2,88,724,1,73,87,651,1014,75,167,1,847,74,360,76,0,1,1,0,0,1,8.84146341463415,0.269179004037685,0.0659488559892328,0,0,2.17945240759042
"Suburb: Large","No","No","Yes",2464,109,1097,229,9,518,47,397,15,4,472,51,396,22,5,472,57,400,16,4,1340,"yes",46,3,295,1047,5,52,290,995,1102,121,44,3,1058,118,457,132,0,1,1,18,5,1,2.22033898305085,0.445211038961039,0.0929383116883117,0,0,0.797659879295432
"Rural: Distant","No","No","No",474,30,247,57,9,42,40,394,12,0,66,39,389,21,0,47,57,398,11,2,480,"yes",0,0,13,263,1,125,12,138,864,10,398,1,466,9,9,2,0,1,1,0,0,1,5.61702127659574,0.521097046413502,0.120253164556962,0,0,1.72580150143626
"City: Midsize","No","No","Yes",2252,111,683,120,9,282,46,393,19,2,321,39,389,23,2,340,44,396,11,0,860,"yes",185,12,396,1617,8,98,388,1519,2780,192,337,8,2443,184,936,263,1,1,1,375,103,1,4.75882352941176,0.303285968028419,0.0532859680284192,0,0,1.56000048000823
"Rural: Fringe","No","No","No",1773,79,79,27,9,227,77,409,3,5,248,79,413,2,6,228,94,420,1,11,200,"yes",12,1,102,343,3,26,99,317,648,61,91,3,557,58,161,46,0,1,1,68,32,1,1.50877192982456,0.0445572476029329,0.0152284263959391,0,0,0.411296028418958
"Town: Distant","No","No","No",1912,94,425,130,9,264,59,399,12,2,352,61,402,7,2,254,57,401,10,4,340,"yes",388,27,270,859,8,109,262,750,2270,198,340,6,1930,192,122,39,1,1,1,2,2,1,3.38582677165354,0.222280334728033,0.0679916317991632,0,0,1.21959812222902
"Town: Fringe","No","Yes","Yes",1242,71,609,102,9,235,49,395,15,3,141,40,394,16,1,267,46,394,18,1,1265,"yes",0,0,43,195,6,105,37,90,472,28,296,6,176,22,12,7,1,1,1,3,1,1,0.734082397003745,0.490338164251208,0.0821256038647343,0,0,-0.309133999169732
"Suburb: Large","No","No","No",4375,187,410,224,9,693,90,424,2,24,723,88,423,2,27,770,87,423,3,28,2280,"yes",752,15,357,1522,5,35,352,1487,2243,200,9,3,2234,198,860,199,0,1,1,38,16,1,1.97792207792208,0.0937142857142857,0.0512,0,0,0.682046838047432
"Suburb: Large","No","Yes","Yes",3118,153,1865,353,9,546,39,388,28,2,492,40,390,24,3,362,32,386,28,2,144,"yes",6,3,283,1899,2,19,281,1880,2495,149,25,2,2470,147,1669,166,1,1,1,792,142,1,5.24861878453039,0.598139833226427,0.113213598460552,0,0,1.65796495332876
"Suburb: Large","No","Yes","Yes",1549,79,733,171,9,267,45,391,21,1,321,43,388,27,2,222,52,396,16,3,160,"yes",0,0,60,239,1,3,59,236,553,56,4,1,549,55,38,18,0,1,1,3,2,1,1.08108108108108,0.473208521626856,0.110393802453196,0,0,0.0779615414697119
